"grid","easting","northing","era5_raw","era5_smooth","residual_pct"
"NC55",255000,955000,931330.826666667,930224.645194894,0.118915519760412
"NC56",255000,965000,931330.826666667,931856.545408295,-0.0564162739660246
"NC60",265000,905000,907804.551111111,904382.619082343,0.378372157598587
"NC61",265000,915000,907804.551111111,911721.731859102,-0.429646526029769
"NC62",265000,925000,932468.195555556,918184.863289045,1.555605285775
"NC63",265000,935000,932468.195555556,923273.034882847,0.995930816269916
"NC64",265000,945000,932468.195555556,926672.278440715,0.62545489378333
"NC65",265000,955000,917113.937777778,928379.259797221,-1.21343964770433
"NC66",265000,965000,917113.937777778,928654.223661108,-1.24268921513482
"NC70",275000,905000,930099.057777778,916660.18093684,1.46606966468238
"NC71",275000,915000,930099.057777778,921438.654015564,0.939878495922921
"NC72",275000,925000,932468.195555556,925059.317750798,0.8009084025846
"NC73",275000,935000,932468.195555556,927231.811000366,0.564733057372099
"NC74",275000,945000,917113.937777778,927935.404524804,-1.16618750553736
"NC75",275000,955000,917113.937777778,927463.786650269,-1.11593024131672
"NC76",275000,965000,917113.937777778,926250.666504119,-0.986420745134292
"NC80",285000,905000,930099.057777778,930238.34238144,-0.0149730017906755
"NC81",285000,915000,930099.057777778,932463.673376649,-0.25358795912216
"NC82",285000,925000,936161.404444444,933226.308876215,0.31451058980151
"NC83",285000,935000,936161.404444444,932454.175374103,0.397577614884352
"NC84",285000,945000,915030.542222222,930429.781956785,-1.65506737135785
"NC85",285000,955000,915030.542222222,927714.413108403,-1.36721718526314
"NC86",285000,965000,915030.542222222,924952.989010843,-1.07275147023766
"NC87",285000,975000,910970.008888889,922596.962947956,-1.2602419611176
"NC90",295000,905000,951158.044444444,944134.355904125,0.7439289224459
"NC91",295000,915000,951158.044444444,944028.119898439,0.755266119273291
"NC92",295000,925000,946674.115555556,942172.347129559,0.477807318343757
"NC93",295000,935000,946674.115555556,938717.698155652,0.847583614918136
"NC94",295000,945000,925105.475555556,934199.196546007,-0.973424193049366
"NC95",295000,955000,925105.475555556,929404.395971518,-0.462545737312581
